study_hours_per_week,attendance_percent,previous_grade,absences,internet_access,extracurricular_activity,result
14,67.0,86.0,7,Yes,No,Pass
14,66.0,64.0,16,Yes,No,Fail
4,75.0,69.0,6,No,Yes,Fail
5,57.0,48.0,10,No,No,Fail
12,96.0,60.0,17,Yes,No,Fail
10,89.0,59.0,0,Yes,Yes,Pass
10,98.0,58.0,2,Yes,No,Fail
5,61.0,58.0,3,Yes,Yes,Fail
7,76.0,51.0,12,Yes,Yes,Fail
4,57.0,76.0,5,Yes,Yes,Fail
1,74.0,81.0,13,No,Yes,Fail
14,95.0,56.0,4,Yes,No,Pass
14,53.0,76.0,15,Yes,Yes,Fail
5,82.0,93.0,14,Yes,No,Fail
7,50.0,87.0,14,Yes,Yes,Fail
10,68.0,78.0,3,Yes,No,Fail
10,80.0,67.0,7,Yes,No,Fail
6,65.0,80.0,15,Yes,No,Fail
5,63.0,74.0,15,No,Yes,Fail
4,97.0,86.0,3,Yes,Yes,Pass
2,54.0,87.0,12,Yes,Yes,Fail
4,90.0,57.0,12,Yes,No,Fail
15,75.0,53.0,1,Yes,No,Pass
10,77.0,74.0,2,Yes,No,Pass
10,51.0,83.0,7,Yes,No,Fail
3,99.0,80.0,14,Yes,Yes,Fail
10,55.0,99.0,10,Yes,No,Pass
1,58.0,46.0,8,Yes,No,Fail
8,82.0,80.0,6,Yes,No,Fail
5,90.0,52.0,12,No,No,Fail
13,74.0,57.0,1,No,Yes,Pass
4,97.0,76.0,7,Yes,Yes,Fail
8,62.0,52.0,6,Yes,No,Fail
7,,75.0,11,No,No,Fail
2,62.0,70.0,18,Yes,Yes,Fail
1,80.0,41.0,6,Yes,No,Fail
12,90.0,55.0,9,No,Yes,Fail
11,60.0,48.0,15,Yes,No,Fail
4,53.0,48.0,2,No,No,Fail
8,83.0,77.0,9,No,No,Pass
12,87.0,50.0,5,Yes,No,Pass
2,95.0,93.0,17,Yes,Yes,Fail
3,53.0,95.0,17,Yes,Yes,Fail
12,87.0,61.0,4,Yes,No,Pass
1,68.0,72.0,20,Yes,Yes,Fail
1,55.0,75.0,6,Yes,Yes,Fail
13,83.0,84.0,1,Yes,No,Pass
3,67.0,62.0,10,Yes,Yes,Fail
11,62.0,84.0,12,Yes,No,Pass
5,90.0,84.0,4,Yes,No,Pass
12,72.0,73.0,5,Yes,No,Pass
3,68.0,48.0,13,Yes,No,Fail
1,94.0,63.0,11,No,No,Fail
1,60.0,47.0,3,No,No,Fail
8,50.0,46.0,5,Yes,No,Fail
10,73.0,75.0,9,No,Yes,Pass
11,56.0,57.0,17,Yes,No,Fail
12,74.0,42.0,14,Yes,No,Fail
13,70.0,67.0,7,Yes,No,Pass
13,64.0,45.0,8,Yes,Yes,Pass
12,50.0,83.0,4,No,No,Pass
15,61.0,83.0,9,Yes,Yes,Pass
14,56.0,60.0,19,Yes,No,Fail
2,64.0,67.0,5,Yes,No,Fail
13,70.0,79.0,15,Yes,Yes,Pass
3,68.0,93.0,2,Yes,No,Pass
2,78.0,93.0,9,Yes,Yes,Fail
3,74.0,40.0,10,Yes,No,Fail
7,82.0,75.0,10,Yes,Yes,Pass
1,98.0,60.0,16,Yes,No,Fail
10,81.0,99.0,3,Yes,Yes,Pass
8,98.0,82.0,3,Yes,Yes,Pass
13,84.0,74.0,16,Yes,Yes,Pass
10,93.0,52.0,8,Yes,Yes,Pass
10,87.0,96.0,18,Yes,No,Fail
10,75.0,88.0,4,Yes,Yes,Pass
14,60.0,93.0,5,Yes,No,Pass
2,84.0,93.0,2,No,No,Pass
3,57.0,49.0,0,Yes,No,Fail
9,95.0,92.0,19,Yes,No,Fail
7,63.0,83.0,15,No,No,Fail
4,59.0,86.0,10,Yes,Yes,Fail
10,51.0,92.0,12,Yes,Yes,Fail
5,95.0,49.0,9,Yes,No,Fail
2,58.0,85.0,2,Yes,No,Fail
13,52.0,52.0,8,Yes,No,Fail
11,70.0,76.0,11,No,Yes,Fail
13,75.0,77.0,13,Yes,Yes,Fail
8,57.0,63.0,0,Yes,Yes,Fail
4,97.0,41.0,17,No,No,Fail
9,51.0,61.0,16,No,No,Fail
5,55.0,56.0,8,Yes,Yes,Fail
13,77.0,75.0,8,Yes,No,Fail
9,78.0,53.0,9,No,No,Fail
4,75.0,49.0,18,Yes,No,Fail
10,74.0,74.0,14,Yes,Yes,Fail
5,61.0,64.0,4,No,No,Fail
9,54.0,,14,Yes,No,Fail
8,83.0,86.0,19,Yes,No,Fail
3,97.0,77.0,1,Yes,No,Pass
1,86.0,56.0,12,Yes,Yes,Fail
3,64.0,51.0,15,Yes,Yes,Fail
4,93.0,93.0,14,Yes,No,Fail
2,85.0,91.0,9,Yes,Yes,Fail
1,64.0,63.0,13,Yes,No,Fail
7,92.0,68.0,9,Yes,No,Fail
8,97.0,82.0,13,Yes,No,Fail
7,72.0,64.0,8,Yes,Yes,Fail
14,55.0,75.0,13,Yes,Yes,Pass
5,95.0,97.0,2,Yes,No,Pass
12,99.0,99.0,19,Yes,Yes,Pass
1,93.0,65.0,15,Yes,No,Fail
7,92.0,77.0,1,Yes,No,Pass
13,94.0,40.0,9,Yes,Yes,Fail
7,70.0,59.0,2,Yes,No,Pass
9,72.0,94.0,10,No,Yes,Fail
3,92.0,67.0,10,Yes,Yes,Fail
9,65.0,55.0,20,Yes,No,Fail
14,96.0,86.0,20,Yes,No,Pass
1,64.0,56.0,12,Yes,No,Fail
1,74.0,79.0,6,No,No,Fail
14,85.0,67.0,16,Yes,No,Pass
4,60.0,97.0,1,Yes,Yes,Fail
9,100.0,51.0,11,Yes,Yes,Fail
6,64.0,66.0,9,Yes,No,Fail
13,53.0,93.0,17,Yes,Yes,Pass
11,70.0,92.0,10,Yes,No,Pass
3,62.0,81.0,15,Yes,No,Fail
1,71.0,98.0,16,Yes,No,Fail
4,68.0,86.0,18,No,No,Fail
12,83.0,69.0,17,No,Yes,Fail
13,63.0,80.0,2,Yes,Yes,Pass
9,53.0,73.0,20,Yes,No,Fail
3,97.0,76.0,15,Yes,No,Fail
12,95.0,45.0,5,Yes,No,Pass
9,76.0,46.0,11,No,No,Fail
7,78.0,71.0,10,Yes,Yes,Fail
12,96.0,71.0,14,Yes,No,Pass
14,77.0,92.0,14,No,No,Pass
15,84.0,64.0,15,Yes,Yes,Pass
4,57.0,72.0,9,No,No,Fail
3,65.0,94.0,11,No,No,Fail
10,91.0,97.0,12,Yes,No,Pass
15,85.0,46.0,3,Yes,Yes,Pass
5,79.0,91.0,6,No,No,Fail
5,67.0,96.0,1,No,Yes,Pass
3,51.0,51.0,14,Yes,Yes,Fail
12,98.0,55.0,7,No,No,Pass
9,62.0,,6,Yes,No,Pass
4,53.0,82.0,14,Yes,No,Fail
11,75.0,92.0,13,No,Yes,Pass
5,74.0,75.0,7,Yes,Yes,Fail
4,79.0,52.0,11,No,No,Fail
5,60.0,46.0,12,Yes,Yes,Fail
7,56.0,75.0,10,Yes,Yes,Fail
9,80.0,86.0,16,Yes,Yes,Fail
7,93.0,90.0,16,Yes,Yes,Fail
13,59.0,48.0,3,Yes,Yes,Pass
5,88.0,,20,Yes,No,Fail
10,62.0,50.0,7,Yes,Yes,Fail
10,80.0,47.0,4,Yes,Yes,Pass
7,56.0,72.0,15,Yes,No,Fail
14,98.0,62.0,3,Yes,Yes,Pass
15,91.0,64.0,14,Yes,No,Pass
10,91.0,95.0,11,Yes,Yes,Fail
5,85.0,47.0,4,Yes,Yes,Fail
3,69.0,84.0,15,Yes,Yes,Fail
7,53.0,61.0,13,Yes,Yes,Fail
13,56.0,98.0,9,Yes,No,Pass
11,50.0,43.0,6,Yes,No,Fail
11,93.0,79.0,12,Yes,Yes,Pass
2,94.0,42.0,19,No,Yes,Fail
15,91.0,68.0,4,Yes,No,Pass
12,96.0,80.0,2,Yes,No,Pass
9,62.0,68.0,14,Yes,No,Fail
10,71.0,73.0,3,Yes,Yes,Pass
10,70.0,73.0,14,Yes,No,Fail
12,71.0,67.0,13,Yes,Yes,Fail
1,77.0,52.0,19,Yes,Yes,Fail
13,58.0,54.0,18,Yes,No,Fail
6,75.0,99.0,12,Yes,No,Fail
7,58.0,62.0,9,Yes,No,Fail
14,64.0,83.0,20,Yes,No,Fail
13,59.0,65.0,4,Yes,No,Pass
8,73.0,43.0,19,Yes,Yes,Fail
10,91.0,65.0,19,Yes,No,Fail
9,57.0,79.0,5,Yes,Yes,Fail
2,73.0,48.0,3,Yes,No,Fail
11,65.0,94.0,1,Yes,No,Pass
10,98.0,44.0,15,Yes,Yes,Fail
2,75.0,95.0,17,Yes,Yes,Fail
5,,71.0,4,Yes,Yes,Fail
13,86.0,59.0,3,Yes,Yes,Pass
5,53.0,89.0,12,Yes,No,Fail
6,99.0,50.0,18,Yes,Yes,Fail
3,73.0,54.0,1,No,Yes,Fail
8,68.0,71.0,12,Yes,No,Fail
13,85.0,67.0,10,Yes,No,Pass
1,88.0,61.0,3,No,No,Fail
6,59.0,80.0,19,Yes,No,Fail
4,74.0,56.0,19,Yes,,Fail
1,67.0,98.0,14,Yes,No,Fail
15,68.0,65.0,3,Yes,No,Pass
7,85.0,83.0,8,Yes,No,Pass
9,59.0,46.0,6,Yes,Yes,Fail
13,82.0,81.0,18,Yes,Yes,Pass
4,99.0,96.0,18,Yes,No,Fail
4,54.0,65.0,5,No,No,Fail
6,96.0,64.0,5,No,No,Fail
12,98.0,49.0,19,Yes,No,Fail
15,84.0,98.0,14,Yes,No,Pass
3,93.0,84.0,14,Yes,No,Fail
13,83.0,58.0,19,No,No,Fail
12,82.0,50.0,8,Yes,No,Pass
6,70.0,52.0,3,Yes,Yes,Fail
7,66.0,92.0,17,Yes,No,Fail
11,71.0,47.0,17,Yes,No,Fail
10,97.0,79.0,4,Yes,Yes,Pass
10,86.0,43.0,19,Yes,No,Fail
3,64.0,86.0,10,Yes,Yes,Fail
7,84.0,70.0,4,Yes,No,Pass
14,77.0,67.0,3,Yes,No,Pass
3,56.0,50.0,11,Yes,No,Fail
13,81.0,82.0,1,No,Yes,Pass
13,60.0,40.0,12,No,No,Fail
2,59.0,88.0,9,No,No,Fail
12,58.0,86.0,8,No,Yes,Fail
14,63.0,91.0,9,Yes,No,Pass
10,62.0,77.0,6,Yes,Yes,Pass
4,74.0,63.0,3,Yes,Yes,Pass
12,51.0,93.0,18,No,Yes,Fail
8,84.0,99.0,9,Yes,No,Pass
13,56.0,96.0,2,Yes,No,Pass
15,70.0,86.0,20,Yes,No,Fail
9,67.0,70.0,18,Yes,Yes,Fail
7,52.0,80.0,20,Yes,Yes,Fail
1,91.0,85.0,1,Yes,No,Fail
3,88.0,89.0,19,Yes,No,Fail
13,90.0,65.0,9,Yes,No,Pass
12,98.0,88.0,1,Yes,Yes,Pass
14,60.0,89.0,1,Yes,Yes,Pass
9,88.0,44.0,16,No,No,Fail
15,73.0,59.0,15,Yes,No,Fail
12,95.0,91.0,15,Yes,Yes,Pass
1,68.0,80.0,13,Yes,Yes,Fail
9,53.0,50.0,6,Yes,No,Fail
8,75.0,95.0,20,Yes,No,Pass
1,87.0,93.0,10,Yes,No,Fail
6,91.0,72.0,0,Yes,Yes,Fail
5,81.0,89.0,10,Yes,Yes,Fail
6,88.0,77.0,20,Yes,No,Fail
10,94.0,66.0,3,Yes,Yes,Pass
12,95.0,73.0,6,Yes,No,Pass
13,85.0,54.0,14,Yes,No,Fail
13,89.0,71.0,17,Yes,Yes,Pass
13,86.0,100.0,11,No,Yes,Pass
15,82.0,97.0,16,Yes,No,Pass
5,85.0,60.0,0,Yes,No,Pass
6,52.0,85.0,10,Yes,No,Fail
5,58.0,44.0,0,Yes,Yes,Fail
11,57.0,45.0,14,Yes,No,Fail
12,82.0,77.0,20,Yes,No,Fail
5,55.0,61.0,9,Yes,No,Fail
4,90.0,57.0,6,Yes,Yes,Fail
3,88.0,53.0,1,Yes,No,Pass
3,53.0,49.0,9,Yes,No,Fail
4,62.0,85.0,3,Yes,No,Fail
9,98.0,52.0,11,Yes,No,Fail
2,51.0,70.0,18,No,No,Fail
15,54.0,69.0,10,Yes,No,Pass
9,93.0,42.0,7,Yes,No,Fail
1,76.0,69.0,17,Yes,Yes,Fail
14,81.0,45.0,10,Yes,Yes,Fail
15,70.0,68.0,10,Yes,Yes,Pass
15,57.0,47.0,12,Yes,Yes,Fail
1,87.0,83.0,2,Yes,Yes,Fail
5,57.0,84.0,11,Yes,No,Fail
6,99.0,82.0,2,No,Yes,Pass
6,52.0,83.0,9,Yes,No,Fail
3,93.0,72.0,16,Yes,No,Fail
7,52.0,56.0,1,No,Yes,Fail
9,71.0,87.0,16,Yes,No,Fail
11,55.0,50.0,15,Yes,No,Fail
12,51.0,52.0,1,Yes,No,Fail
10,72.0,89.0,19,No,Yes,Fail
8,93.0,50.0,5,Yes,Yes,Fail
6,51.0,70.0,9,Yes,No,Fail
12,87.0,67.0,9,Yes,Yes,Pass
8,66.0,83.0,7,Yes,No,Pass
12,84.0,45.0,0,Yes,No,Pass
5,83.0,80.0,12,Yes,Yes,Fail
8,72.0,55.0,8,Yes,No,Fail
10,79.0,43.0,9,Yes,Yes,Fail
12,57.0,74.0,14,Yes,No,Fail
4,71.0,99.0,4,No,Yes,Fail
10,93.0,87.0,15,No,No,Pass
8,85.0,95.0,12,Yes,Yes,Fail
10,54.0,98.0,19,Yes,No,Fail
12,62.0,65.0,17,Yes,No,Fail
2,,96.0,10,Yes,Yes,Fail
12,80.0,51.0,8,,No,Pass
12,96.0,50.0,15,Yes,Yes,Pass
5,65.0,76.0,1,No,No,Fail
9,91.0,64.0,1,Yes,No,Fail
4,79.0,57.0,11,Yes,Yes,Fail
11,65.0,58.0,7,Yes,Yes,Fail
6,61.0,62.0,8,Yes,Yes,Fail
15,66.0,94.0,11,Yes,No,Pass
1,65.0,77.0,8,Yes,Yes,Fail
9,61.0,93.0,9,Yes,Yes,Pass
1,57.0,57.0,1,No,Yes,Fail
5,69.0,65.0,15,Yes,Yes,Fail
4,52.0,45.0,19,No,No,Fail
13,65.0,43.0,6,Yes,Yes,Pass
12,79.0,83.0,1,Yes,No,Pass
13,94.0,90.0,0,Yes,No,Pass
13,72.0,68.0,18,Yes,No,Fail
14,77.0,98.0,3,Yes,Yes,Pass
3,100.0,100.0,1,Yes,No,Pass
13,89.0,73.0,13,Yes,No,Pass
6,54.0,56.0,1,Yes,Yes,Fail
2,69.0,82.0,14,Yes,Yes,Fail
3,89.0,82.0,11,Yes,Yes,Fail
5,93.0,92.0,4,Yes,Yes,Fail
15,50.0,55.0,19,Yes,Yes,Fail
9,79.0,41.0,6,Yes,No,Fail
2,70.0,73.0,20,No,Yes,Fail
10,69.0,94.0,9,Yes,No,Pass
8,55.0,47.0,13,Yes,No,Fail
14,71.0,52.0,13,Yes,No,Fail
2,67.0,81.0,4,Yes,No,Fail
11,57.0,47.0,17,Yes,Yes,Fail
13,88.0,69.0,13,No,No,Fail
5,81.0,71.0,1,No,No,Fail
7,82.0,75.0,11,Yes,No,Pass
8,65.0,86.0,5,Yes,No,Fail
1,61.0,69.0,3,Yes,Yes,Fail
6,87.0,,12,Yes,Yes,Fail
1,83.0,82.0,3,Yes,No,Fail
2,63.0,78.0,13,Yes,No,Fail
15,85.0,56.0,15,Yes,No,Pass
1,82.0,98.0,3,No,No,Fail
11,72.0,59.0,0,Yes,Yes,Pass
5,99.0,63.0,12,Yes,Yes,Fail
10,94.0,89.0,3,No,Yes,Pass
15,51.0,61.0,19,Yes,Yes,Fail
9,90.0,68.0,17,No,No,Fail
6,70.0,61.0,5,Yes,No,Fail
11,51.0,83.0,2,Yes,No,Fail
11,76.0,48.0,12,No,Yes,Fail
1,58.0,76.0,15,Yes,Yes,Fail
13,50.0,49.0,4,Yes,Yes,Fail
1,60.0,75.0,3,Yes,No,Fail
2,52.0,76.0,20,Yes,Yes,Fail
9,72.0,67.0,7,Yes,No,Fail
3,75.0,67.0,18,No,No,Fail
15,53.0,81.0,13,No,No,Pass
1,67.0,82.0,6,No,Yes,Fail
5,55.0,60.0,13,Yes,No,Fail
7,84.0,63.0,5,Yes,No,Fail
6,71.0,81.0,11,Yes,No,Fail
12,92.0,99.0,15,No,Yes,Pass
1,64.0,79.0,16,Yes,No,Fail
5,71.0,41.0,12,Yes,No,Fail
15,86.0,94.0,13,Yes,Yes,Pass
5,91.0,,6,Yes,Yes,Fail
6,61.0,87.0,13,Yes,No,Fail
3,96.0,66.0,14,No,Yes,Fail
5,98.0,61.0,11,No,Yes,Fail
7,91.0,76.0,16,Yes,Yes,Fail
5,87.0,66.0,8,Yes,No,Fail
5,67.0,96.0,14,No,Yes,Fail
5,94.0,68.0,11,Yes,No,Fail
10,84.0,42.0,1,Yes,Yes,Fail
10,79.0,83.0,4,Yes,Yes,Pass
3,73.0,52.0,12,Yes,No,Fail
1,91.0,84.0,19,Yes,Yes,Fail
5,79.0,49.0,7,Yes,No,Fail
14,63.0,75.0,13,Yes,Yes,Fail
9,55.0,48.0,14,Yes,Yes,Fail
14,52.0,93.0,10,No,Yes,Pass
1,65.0,95.0,0,Yes,Yes,Fail
3,56.0,94.0,20,,No,Fail
13,63.0,66.0,2,Yes,,Pass
13,58.0,73.0,16,Yes,Yes,Fail
4,64.0,90.0,18,Yes,No,Fail
14,70.0,40.0,13,No,No,Fail
1,84.0,71.0,7,Yes,Yes,Fail
1,51.0,64.0,12,Yes,Yes,Fail
8,76.0,68.0,19,Yes,No,Fail
2,51.0,46.0,2,Yes,No,Fail
12,84.0,88.0,4,,No,Pass
15,67.0,42.0,8,No,No,Pass
8,63.0,59.0,5,No,No,Fail
7,69.0,59.0,1,Yes,Yes,Pass
10,67.0,92.0,12,No,Yes,Fail
10,59.0,69.0,4,Yes,Yes,Fail
2,74.0,74.0,7,Yes,No,Fail
6,51.0,74.0,0,Yes,No,Fail
6,74.0,88.0,19,Yes,No,Fail
3,82.0,78.0,11,Yes,No,Fail
11,85.0,66.0,10,No,No,Fail
2,80.0,65.0,6,Yes,No,Fail
12,63.0,53.0,14,Yes,Yes,Fail
1,50.0,56.0,10,Yes,No,Fail
6,95.0,57.0,15,No,No,Fail
12,65.0,84.0,2,Yes,Yes,Pass
5,95.0,91.0,19,Yes,No,Fail
14,52.0,68.0,13,Yes,No,Fail
14,84.0,59.0,2,Yes,Yes,Pass
11,90.0,92.0,0,Yes,Yes,Pass
9,55.0,66.0,20,Yes,No,Fail
1,74.0,57.0,14,Yes,No,Fail
15,62.0,43.0,0,Yes,No,Fail
15,83.0,40.0,16,Yes,Yes,Fail
7,57.0,89.0,1,Yes,Yes,Pass
15,70.0,40.0,19,Yes,Yes,Fail
5,83.0,97.0,5,No,Yes,Pass
5,53.0,65.0,7,Yes,Yes,Fail
14,74.0,84.0,15,No,No,Pass
2,64.0,59.0,18,Yes,Yes,Fail
11,53.0,91.0,0,Yes,Yes,Pass
3,94.0,62.0,2,Yes,Yes,Fail
7,61.0,49.0,2,No,Yes,Fail
6,81.0,98.0,4,Yes,No,Pass
12,81.0,50.0,11,Yes,No,Fail
2,77.0,80.0,11,No,No,Fail
6,62.0,80.0,19,Yes,Yes,Fail
2,80.0,44.0,12,Yes,Yes,Fail
2,63.0,97.0,19,Yes,No,Fail
2,69.0,40.0,8,Yes,Yes,Fail
14,67.0,56.0,6,Yes,No,Pass
15,78.0,61.0,3,Yes,Yes,Pass
11,55.0,73.0,18,Yes,No,Fail
3,81.0,95.0,18,Yes,Yes,Fail
15,78.0,84.0,5,No,No,Pass
2,92.0,80.0,12,No,No,Fail
4,51.0,68.0,10,Yes,No,Fail
9,72.0,43.0,12,Yes,No,Fail
6,68.0,44.0,12,Yes,No,Fail
1,80.0,50.0,19,Yes,No,Fail
8,100.0,95.0,14,Yes,Yes,Pass
15,54.0,90.0,20,Yes,Yes,Fail
12,68.0,60.0,12,Yes,No,Pass
14,83.0,74.0,10,Yes,No,Pass
7,59.0,51.0,18,Yes,Yes,Fail
10,74.0,65.0,7,No,Yes,Fail
3,51.0,90.0,19,Yes,No,Fail
1,60.0,58.0,7,Yes,Yes,Fail
5,99.0,84.0,9,Yes,Yes,Pass
13,80.0,99.0,15,Yes,Yes,Pass
4,64.0,46.0,18,Yes,No,Fail
10,58.0,86.0,10,Yes,Yes,Pass
8,72.0,94.0,12,Yes,No,Fail
1,68.0,46.0,8,Yes,Yes,Fail
10,58.0,65.0,19,Yes,No,Fail
1,84.0,79.0,18,Yes,No,Fail
12,70.0,44.0,15,No,Yes,Fail
4,58.0,60.0,6,Yes,No,Fail
8,77.0,53.0,18,Yes,Yes,Fail
5,95.0,43.0,11,No,Yes,Fail
2,100.0,62.0,14,Yes,No,Fail
6,56.0,81.0,13,Yes,Yes,Fail
5,65.0,59.0,10,Yes,No,Fail
2,65.0,54.0,9,Yes,Yes,Fail
13,82.0,89.0,10,Yes,Yes,Pass
14,53.0,91.0,5,Yes,Yes,Pass
11,53.0,84.0,1,No,No,Pass
11,88.0,68.0,10,No,No,Fail
11,89.0,47.0,18,Yes,No,Fail
3,66.0,80.0,5,Yes,Yes,Fail
15,86.0,87.0,13,Yes,Yes,Pass
9,88.0,58.0,19,Yes,No,Fail
7,78.0,87.0,5,Yes,No,Pass
7,85.0,78.0,16,Yes,Yes,Fail
15,87.0,85.0,9,No,No,Pass
11,88.0,67.0,0,No,Yes,Pass
6,99.0,85.0,2,Yes,No,Pass
8,86.0,96.0,7,Yes,No,Pass
4,84.0,66.0,7,Yes,No,Fail
8,56.0,43.0,19,Yes,No,Fail
4,76.0,97.0,14,Yes,Yes,Fail
8,77.0,54.0,6,Yes,No,Fail
9,71.0,74.0,10,Yes,No,Fail
3,63.0,76.0,6,Yes,Yes,Fail
3,56.0,40.0,3,Yes,No,Fail
11,86.0,42.0,11,Yes,No,Fail
13,71.0,86.0,5,Yes,No,Pass
2,54.0,63.0,13,,Yes,Fail
13,51.0,66.0,11,Yes,No,Fail
10,76.0,79.0,10,No,No,Fail
3,70.0,100.0,18,Yes,Yes,Fail
3,87.0,75.0,20,Yes,No,Fail
5,64.0,73.0,4,Yes,No,Fail
5,70.0,68.0,13,Yes,Yes,Fail
2,59.0,63.0,20,Yes,Yes,Fail
12,72.0,63.0,15,Yes,No,Fail
10,88.0,81.0,12,Yes,No,Pass
13,54.0,43.0,19,,No,Fail
6,50.0,42.0,3,Yes,No,Fail
5,62.0,73.0,10,Yes,Yes,Fail
6,70.0,96.0,16,Yes,Yes,Fail
1,75.0,88.0,6,Yes,No,Fail
5,99.0,62.0,13,Yes,Yes,Fail
9,,92.0,10,Yes,No,Pass
12,70.0,95.0,8,Yes,Yes,Pass
10,67.0,91.0,12,No,Yes,Fail
14,86.0,62.0,17,Yes,Yes,Fail
2,94.0,84.0,10,No,No,Fail
1,81.0,44.0,14,No,Yes,Fail
14,85.0,70.0,18,Yes,Yes,Pass
10,66.0,92.0,0,Yes,Yes,Pass
13,84.0,80.0,3,Yes,No,Pass
11,98.0,,13,No,Yes,Pass
9,60.0,100.0,13,Yes,Yes,Fail
10,,96.0,2,Yes,Yes,Pass
9,75.0,99.0,16,Yes,No,Fail
15,53.0,93.0,2,Yes,Yes,Pass
9,83.0,45.0,15,Yes,Yes,Fail
6,97.0,76.0,13,Yes,Yes,Pass
15,67.0,96.0,19,Yes,No,Fail
8,89.0,49.0,12,No,No,Fail
14,84.0,79.0,14,Yes,No,Pass
11,90.0,46.0,13,Yes,No,Fail
15,78.0,78.0,18,Yes,No,Pass
13,78.0,77.0,5,Yes,Yes,Pass
1,87.0,60.0,9,Yes,No,Fail
10,91.0,100.0,14,Yes,No,Pass
4,70.0,59.0,20,Yes,No,Fail
1,91.0,42.0,19,Yes,Yes,Fail
8,62.0,90.0,5,Yes,No,Fail
1,98.0,61.0,9,Yes,Yes,Fail
3,90.0,86.0,6,Yes,No,Fail
13,66.0,43.0,16,Yes,Yes,Fail
4,58.0,67.0,17,Yes,Yes,Fail
15,90.0,51.0,16,Yes,Yes,Fail
15,50.0,77.0,8,Yes,Yes,Fail
15,51.0,90.0,9,Yes,No,Pass
8,97.0,75.0,9,No,Yes,Fail
6,78.0,86.0,6,No,Yes,Fail
14,82.0,80.0,15,Yes,No,Pass
10,59.0,44.0,17,Yes,Yes,Fail
12,99.0,52.0,5,Yes,No,Pass
7,89.0,62.0,19,Yes,Yes,Fail
14,70.0,97.0,0,Yes,Yes,Pass
8,77.0,89.0,0,No,No,Pass
2,60.0,69.0,11,Yes,No,Fail
13,83.0,76.0,20,Yes,Yes,Fail
10,57.0,64.0,1,Yes,No,Pass
14,71.0,87.0,3,Yes,No,Pass
11,57.0,66.0,16,Yes,No,Fail
8,98.0,90.0,3,Yes,Yes,Pass
3,64.0,53.0,10,Yes,Yes,Fail
7,66.0,96.0,3,Yes,No,Fail
3,72.0,87.0,0,Yes,No,Pass
15,73.0,98.0,6,Yes,Yes,Pass
7,94.0,86.0,17,Yes,No,Fail
14,68.0,93.0,8,Yes,Yes,Pass
11,54.0,75.0,2,Yes,No,Pass
15,81.0,78.0,7,No,Yes,Pass
12,93.0,55.0,18,Yes,No,Fail
13,50.0,95.0,3,Yes,Yes,Pass
2,72.0,61.0,17,Yes,No,Fail
10,86.0,,19,Yes,No,Fail
6,57.0,93.0,10,Yes,No,Fail
3,62.0,60.0,13,Yes,No,Fail
3,57.0,47.0,17,Yes,No,Fail
15,72.0,88.0,15,Yes,No,Pass
9,92.0,55.0,2,No,Yes,Fail
7,50.0,98.0,14,No,Yes,Fail
5,94.0,94.0,3,Yes,Yes,Pass
12,100.0,70.0,4,Yes,Yes,Pass
10,73.0,81.0,16,Yes,No,Fail
7,84.0,49.0,6,Yes,Yes,Fail
9,73.0,71.0,15,Yes,No,Fail
1,66.0,98.0,13,Yes,No,Fail
7,54.0,73.0,15,No,No,Fail
6,69.0,48.0,6,Yes,No,Fail
10,70.0,56.0,8,Yes,No,Fail
14,89.0,50.0,3,Yes,Yes,Pass
12,80.0,71.0,10,Yes,Yes,Fail
9,95.0,49.0,1,Yes,No,Fail
1,85.0,61.0,11,Yes,No,Fail
13,60.0,96.0,11,No,Yes,Pass
4,64.0,56.0,3,Yes,No,Fail
9,68.0,43.0,17,Yes,Yes,Fail
4,56.0,,20,No,Yes,Fail
10,100.0,91.0,6,Yes,Yes,Pass
3,77.0,86.0,0,Yes,No,Pass
9,100.0,64.0,12,Yes,No,Fail
13,92.0,98.0,5,Yes,Yes,Pass
2,54.0,60.0,5,Yes,Yes,Fail
15,54.0,76.0,11,Yes,No,Pass
4,79.0,77.0,7,No,Yes,Fail
15,81.0,88.0,18,Yes,Yes,Pass
6,57.0,40.0,4,Yes,No,Fail
2,59.0,64.0,17,Yes,Yes,Fail
15,87.0,90.0,4,Yes,No,Pass
8,96.0,75.0,9,Yes,Yes,Fail
8,81.0,56.0,0,Yes,No,Pass
1,97.0,80.0,9,Yes,No,Fail
12,77.0,63.0,4,Yes,No,Pass
3,66.0,41.0,11,No,Yes,Fail
10,80.0,79.0,6,Yes,No,Pass
9,57.0,54.0,8,Yes,No,Fail
5,89.0,71.0,20,No,No,Fail
6,74.0,78.0,11,Yes,No,Fail
4,58.0,98.0,0,Yes,No,Pass
10,51.0,45.0,10,No,No,Fail
2,64.0,40.0,20,Yes,Yes,Fail
11,99.0,86.0,14,Yes,Yes,Pass
8,52.0,62.0,1,Yes,,Fail
11,98.0,97.0,19,Yes,Yes,Pass
13,85.0,78.0,6,Yes,No,Pass
6,53.0,100.0,20,Yes,No,Fail
5,63.0,96.0,11,Yes,No,Fail
9,,56.0,17,Yes,Yes,Fail
1,90.0,73.0,2,Yes,Yes,Fail
5,74.0,98.0,6,Yes,No,Fail
6,99.0,80.0,10,No,No,Fail
5,59.0,68.0,17,Yes,No,Fail
6,70.0,48.0,11,No,Yes,Fail
